departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
33,1442,07786X0087/F,"LE MOULIN - PARCELLE 266, SECTION B2 (BRACH - 33)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,8260,08518X0026/P,FONTBANNE (BUDOS-33),0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,1778,08262X0290/F,"LAC DE BLAGON - PARCELLE 778, SECTION A (LANTON - 33)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,872,07548X0009/F,SHELL-BERRE (SAINT-ESTEPHE - 33),0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,7504,08022X0008/SP1,ETANG DE LA LEVADE (SAINTE-HELENE-33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,7620,08022X0009/SP2,ETANG DE LA LEVADE (SAINTE-HELENE-33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,7677,08022X0010/SP3,ETANG DE LA LEVADE (SAINTE-HELENE-33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,8052,08493X0045/F,PILAT (TESTE-DE-BUCH(LA)-33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,765,07298X0042/PZ,Vendays-Montalivet - 07298X0042/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,1977,07298X0001/F1,MONTALIVET (VENDAYS-MONTALIVET - 33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,8149,10407X0071/GOLF,GOLF AGDE ASTIEN - 17,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,7849,10403X0350/PEZENA,CASERNE - 1782,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,7882,10403X0216/SAUZED,LA SAUZÈDE 2031 - 15,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,1808,10401X0128/CLAIRA,Clairac  - 14,0,1,1,0,0,1,0,0,0,0,0,0,0,0
34,7753,10403X0154/SRAE16,LA GAUFREZE 1860 - 16,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,7639,10404X0056/S1003,BELLUIRE - 12,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,1809,10406X0060/DRILLE,Drilles - Serignan34 - 112,0,1,1,0,0,1,0,0,0,0,0,0,0,0
34,1814,10405X0171/VALRAS,Valras-Plage - 10405X0171/VALRAS,0,1,1,0,0,1,0,0,0,0,0,0,0,0
34,1806,10402X0133/SRAE13,Vias source - 113,0,1,1,0,0,1,0,0,0,0,0,0,0,0
34,8178,10406X0077/ASL,ASL OASIS - 1230,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,8299,10402X0046/BOUR,Vias - 10402X0046/BOUR,0,1,1,0,0,1,0,0,0,0,0,0,0,0
34,7813,10401X0294/DRN379,LOURIAC - 1379,0,1,1,0,1,1,0,0,0,0,0,0,0,0
36,986,05176X0033/FAEP3,MONTPLAISIR F3 BAUDRES - 36,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1004,05432X0024/F1AEP,Châtillon-sur-Indre - 05432X0024/F1AEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1519,05446X0136/S,Chezelles - 05446X0136/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1664,05933X0006/FAEP3,VAVRE -  AEP VAVRE  N 1 - PARCELLE 1369 - STATION MAILLET - 36,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1928,05932X0003/PAEP,Menoux - 05932X0003/PAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,2280,05943X0006/FAEP1,LES RIBATTES   AEP MONTGIVRAY - 36,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,992,05432X0003/F,LE GONNEAU MURS - 36,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,966,05168X0006/FAEP,Pellevoisin - 05168X0006/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1884,05923X0004/FAEP,Prissac - 05923X0004/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1515,05696X0002/FAEP,Rosnay - 05696X0002/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,1011,04883X0077/FAEP,Athée-sur-Cher - 04883X0077/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,983,04581X0015/FAEP2,Château d'eau,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,961,05411X1010/FAEP,Razines - 05411X1010/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,1883,04571X0015/P,L'Imbertière,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,1007,04578X0102/FAEP,Tours - 04578X0102/FAEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1926,09761X0009/F,F1 Bourg,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,7855,09761X0108/GOUA,Goua (ANGRESSE - 40),0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2012,09782X0006/P1,CAPTAGE DE MARSEILLON P1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,7660,09782X0016/F3,Forage agricole ASA ,0,0,0,0,1,1,0,0,0,0,0,0,0,0
